ID,REFERENCES,SIO2,TIO2,AL2O3,FEOT,MNO,MGO,CAO,CR2O3,FE SKARN,AU  SKARN,CU  SKARN,ZN  SKARN,W  SKARN,MO  SKARN,SN  SKARN
2631,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.65,0.23,6.34,19.88,0.386,0.07,33.76,0,0,0,0,0,0,0,1
2632,"Metasomatic changes during periodic fluid flux recorded in grandite garnet from the Weondong W-skarn deposit, South Korea",36.65,0.02,8.14,18.97,0.23,0.12,33.96,0,0,0,0,0,1,0,0
2633,"Fluid metasomatic genesis of stratiform skarn in the Suoerkuduke Cu-Mo deposit, East Junggar, NW China",36.65,0.03,8.4,17.807,0.87,0,33.29,0,0,0,1,0,0,1,0
2634,"Garnet Geochemistry of Reduced Skarn System: Implications for Fluid Evolution and Skarn Formation of the Zhuxiling W (Mo) Deposit, China",36.645,0.204,19.423,11.058,16.396,0.173,14.58,0.009,0,0,0,0,1,1,0
2635,"Skarn Zonation of the Giant Jiama Cu-Mo-Au Deposit in Southern Tibet, SW China",36.642,0.058,8.518,15.962,0.355,0.035,34.244,0,0,1,1,0,0,1,0
2636,"Decoding the oxygen fugacity of ore-forming fluids from garnet chemistry, the Longgen skarn Pb-Zn deposit, Tibet",36.64,0,9.42,16.67,0.12,0.01,36.79,0,0,0,0,1,0,0,0
2637,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.64,0.118,6.21,24.87,0.187,0.399,34.14,0,0,0,0,0,0,0,1
2638,"Using garnet geochemistry discriminating different skarn mineralization systems: Perspective from Huangshaping W-Mo-Sn-Cu polymetallic deposit, South China",36.639,0,6.011,19.954,1.244,0.25,33.436,0.006,0,0,1,0,1,1,1
2639,"Garnet Geochemistry of Reduced Skarn System: Implications for Fluid Evolution and Skarn Formation of the Zhuxiling W (Mo) Deposit, China",36.638,0,13.448,11.912,7.323,0.022,28.915,0.006,0,0,0,0,1,1,0
2640,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.637,0.136,7.751,18.906,0.733,0.091,34.774,0,0,0,0,1,1,0,1
2641,Unveiling growth histories of multi-generational garnet in a single skarn deposit via newly-developed LA-ICP-MS Usingle bondPb dating of grandite,36.631,0.003,5.138,24.903,0.318,0.015,33.747,0,1,1,1,0,0,0,0
2642,"Garnet Geochemistry of Reduced Skarn System: Implications for Fluid Evolution and Skarn Formation of the Zhuxiling W (Mo) Deposit, China",36.63,0,4.769,22.867,1.365,0,32.993,0.008,0,0,0,0,1,1,0
2643,"Decoding the oxygen fugacity of ore-forming fluids from garnet chemistry, the Longgen skarn Pb-Zn deposit, Tibet",36.63,0.01,9.6,15.99,0.16,0.01,36.83,0,0,0,0,1,0,0,0
2644,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.63,0.044,14.92,9.4,0.734,0.034,35.14,0,0,0,0,0,0,0,1
2645,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.63,1.96,11.39,11.58,0.756,0.092,34.54,0,0,0,0,0,0,0,1
2646,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.63,0.136,6,24.02,0.194,0.156,34.41,0,0,0,0,0,0,0,1
2647,"Skarn Zonation of the Giant Jiama Cu-Mo-Au Deposit in Southern Tibet, SW China",36.63,0.005,3.847,23.453,0.203,0.045,33.506,0,0,1,1,0,0,1,0
2648,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.63,0,8.5,18.32,0.668,0.147,33.41,0,0,0,0,0,0,0,1
2649,"The Age and Origin of the Ruwai Polymetallic Skarn Deposit, Indonesia: Evidence of Cretaceous Mineralization in the Central Borneo Metallogenic Belt",36.629,0.492,9.782,15.436,1.86,0.01,32.177,0.003,1,0,0,1,0,0,0
2650,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.629,0.139,7.914,18.837,0.801,0.088,34.645,0,0,0,0,1,1,0,1
2651,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.628,0.286,8.341,18.456,0.769,0.101,34.867,0,0,0,0,1,1,0,1
2652,"In situ major and trace elements of garnet and scheelite in the Nuri Cu每W每Mo deposit, South Gangdese, Tibet: Implications for mineral genesis and ore-forming fluid records",36.628,0.044,10.858,14.417,1.221,0.002,33.899,0,0,0,1,0,1,1,0
2653,"Garnet U-Pb dating of the Yinan Au-Cu skarn deposit, Luxi District, North China Craton: Implications for district-wide coeval Au-Cu and Fe skarn mineralization",36.625,0.026,1.964,26.45,0.167,0.154,33.579,0,1,1,1,0,0,0,0
2654,Unveiling growth histories of multi-generational garnet in a single skarn deposit via newly-developed LA-ICP-MS Usingle bondPb dating of grandite,36.622,0.025,3.238,24.093,0.276,0.046,34.326,0,1,1,1,0,0,0,0
2655,"Decoding the oxygen fugacity of ore-forming fluids from garnet chemistry, the Longgen skarn Pb-Zn deposit, Tibet",36.62,0.76,7.91,18.83,0.14,0.01,35.81,0.01,0,0,0,1,0,0,0
2656,"Multigeneration garnets record the fluid evolution of volcanic-hosted skarn iron deposit: Study of the Yamansu deposit, NW China",36.62,0.03,7.99,20.19,0.4,0.02,33.22,0.01,1,0,0,0,0,0,0
2657,Unveiling growth histories of multi-generational garnet in a single skarn deposit via newly-developed LA-ICP-MS Usingle bondPb dating of grandite,36.62,0.11,4.448,23.348,0.734,0.031,33.529,0.003,1,1,1,0,0,0,0
2658,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.62,0,8.36,17.64,0.548,0.033,34.14,0,0,0,0,0,0,0,1
2659,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.62,0.078,6.49,19.84,0.339,0.05,33.89,0,0,0,0,0,0,0,1
2660,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.62,0,11.15,16.79,0.812,0.076,32.42,0,0,0,0,0,0,0,1
2661,"The Age and Origin of the Ruwai Polymetallic Skarn Deposit, Indonesia: Evidence of Cretaceous Mineralization in the Central Borneo Metallogenic Belt",36.62,0.295,9.744,15.463,1.726,0.031,32.385,0,1,0,0,1,0,0,0
2662,"Mineralogy and fluid characteristics of the Waschleithe Zn skarn 每 a distal part of the Schwarzenberg mineral system, Erzgebirge, Germany",36.62,0.27,18.4,5.51,2.33,0,34.37,0,0,0,0,1,0,0,0
2663,"Garnets in porphyry每skarn systems: A LA每ICP每MS, fluid inclusion, and stable isotope study of garnets from the Hongniu每Hongshan copper deposit, Zhongdian area, NW Yunnan Province, China",36.62,0,7.83,19.229,0.26,0,33.83,0,0,0,1,0,0,0,0
2664,"Scheelite and coexisting F-rich zoned garnet, vesuvianite, fluorite, and apatite in calc-silicate rocks from the Mogok metamorphic belt, Myanmar: Implications for metasomatism in marble and the role of halogens in W mobilization and mineralization",36.62,0.28,18.42,9.47,0.88,0.18,31.71,0,0,0,0,0,1,0,0
2665,"IN SITU U-Pb DATING OF GARNET AND CASSITERITE FROM THE KANBAUK W-Sn(-F) SKARN DEPOSIT, DAWEI REGION, SOUTHERN MYANMAR: NEW INSIGHTS ON THE REGIONAL Sn-W METALLOGENY IN THE SOUTHEAST Asia TIN BELT",36.62,0.07,16.65,9.7,5.72,0.04,28.48,0,0,0,0,0,1,0,1
2666,"In situ major and trace elements of garnet and scheelite in the Nuri Cu每W每Mo deposit, South Gangdese, Tibet: Implications for mineral genesis and ore-forming fluid records",36.615,0.022,7.936,18.506,2.49,0.022,32.456,0.013,0,0,1,0,1,1,0
2667,"Skarn Zonation of the Giant Jiama Cu-Mo-Au Deposit in Southern Tibet, SW China",36.614,0.203,2.05,25.155,0.375,0.024,34.816,0,0,1,1,0,0,1,0
2668,"The Age and Origin of the Ruwai Polymetallic Skarn Deposit, Indonesia: Evidence of Cretaceous Mineralization in the Central Borneo Metallogenic Belt",36.612,0,7.714,18.534,1.442,0.011,32.396,0.015,1,0,0,1,0,0,0
2669,"Two generations of garnets and their relevance for the hydrothermal fluid evolution of the Hongyuntan deposit, NW China ",36.61,0.04,1.32,26.95,0.1,0.05,33.82,0.02,1,0,0,0,0,0,0
2670,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.61,0.163,14.33,9.35,0.344,0.04,35.95,0,0,0,0,0,0,0,1
2671,"Decoding the oxygen fugacity of ore-forming fluids from garnet chemistry, the Longgen skarn Pb-Zn deposit, Tibet",36.61,0,5.56,20.01,0.14,0.01,34.81,0,0,0,0,1,0,0,0
2672,"Decoding the oxygen fugacity of ore-forming fluids from garnet chemistry, the Longgen skarn Pb-Zn deposit, Tibet",36.61,0,5.56,20.01,0.14,0.01,34.81,0,0,0,0,1,0,0,0
2673,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.61,0,8.21,16.83,0.416,0.245,34.2,0,0,0,0,0,0,0,1
2674,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.61,0.415,9.26,16.23,0.504,0.054,34.17,0,0,0,0,0,0,0,1
2675,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.61,0,10.7,15.63,0.461,0,34.13,0,0,0,0,0,0,0,1
2676,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.61,0.18,7.6,18.43,0.201,0.071,33.98,0,0,0,0,0,0,0,1
2677,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.61,0.262,6.99,18.85,0.417,0.072,33.83,0,0,0,0,0,0,0,1
2678,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.61,0.188,8.67,16.43,0.539,0.053,33.83,0,0,0,0,0,0,0,1
2679,Unveiling growth histories of multi-generational garnet in a single skarn deposit via newly-developed LA-ICP-MS Usingle bondPb dating of grandite,36.609,0.144,3.79,25.823,1.125,0.057,32.76,0.034,1,1,1,0,0,0,0
2680,Unveiling growth histories of multi-generational garnet in a single skarn deposit via newly-developed LA-ICP-MS Usingle bondPb dating of grandite,36.606,0.464,5.299,22.018,0.595,0.069,34.019,0.018,1,1,1,0,0,0,0
2681,"Ore-forming processes in the Xingjiashan W-Mo skarn deposit (Jiaodong, China): Insights from multi-generation scheelite and garnet geochemistry",36.606,0.215,9.521,18.179,0.625,0,34.928,0.008,0,0,0,0,1,1,0
2682,"Using garnet geochemistry discriminating different skarn mineralization systems: Perspective from Huangshaping W-Mo-Sn-Cu polymetallic deposit, South China",36.606,0.049,5.519,20.477,1.242,0.214,32.86,0,0,0,1,0,1,1,1
2683,"Garnet U-Pb dating of the Yinan Au-Cu skarn deposit, Luxi District, North China Craton: Implications for district-wide coeval Au-Cu and Fe skarn mineralization",36.605,0.096,4.174,24.682,0.301,0.106,33.468,0.008,1,1,1,0,0,0,0
2684,"Garnet major and trace element evidence of the alteration and mineralizing processes associated with genesis of the Qiaomaishan skarn deposit, Xuancheng ore district, eastern China",36.604,0.576,9.619,16.929,0.655,0.113,34.436,0,0,0,1,0,1,0,0
2685,Unveiling growth histories of multi-generational garnet in a single skarn deposit via newly-developed LA-ICP-MS Usingle bondPb dating of grandite,36.602,0,6.597,19.86,0.216,0.03,35.491,0.319,1,1,1,0,0,0,0
2686,"Fingerprinting the Hydrothermal Fluid Characteristics from LA-ICP-MS Trace Element Geochemistry of Garnet in the Yongping Cu Deposit, SE China",36.6,0.48,6.62,19.18,0.36,0.1,34.78,0.01,0,0,1,0,0,0,0
2687,"Mineralization and Fluid Inclusion Study of the Shizhuyuan W-Sn-Bi-Mo-F Skarn Deposit, Hunan Province, China",36.6,0.2,19.3,6.1,3,0,32.1,0,0,0,0,0,1,0,1
2688,"Mineralization and Fluid Inclusion Study of the Shizhuyuan W-Sn-Bi-Mo-F Skarn Deposit, Hunan Province, China",36.6,0,5.41,21,2.6,0.3,31.4,0,0,0,0,0,1,0,1
2689,Unveiling growth histories of multi-generational garnet in a single skarn deposit via newly-developed LA-ICP-MS Usingle bondPb dating of grandite,36.598,0.088,3.846,24.049,0.57,0.036,34.314,0,1,1,1,0,0,0,0
2690,Mineral chemistry of the Geyer SW tin skarn deposit: understanding variable fluid/rock ratios and metal fluxes,36.595,0.068,7.876,18.949,0.899,0.054,34.584,0,0,0,0,1,1,0,1
